2025-01-12-17:30:04 INFO  Verifying ApplicationPage is Displayed
2025-01-12-17:30:05 INFO  PASS: ApplicationPage is Displayed
2025-01-12-17:30:05 INFO  PASS: SFDC Application login page is opened
2025-01-12-17:30:05 INFO  PASS: Verified: UserName Displayed in username field
2025-01-12-17:30:05 INFO  PASS: Username is Displayed in Username Field
2025-01-12-17:30:05 WARN  Password field is Empty
2025-01-12-17:30:05 INFO  PASS: Password field is Empty 
2025-01-12-17:30:05 INFO  Clicked on loginButton
2025-01-12-17:30:06 INFO  Error message is Displayed as expected
2025-01-12-17:30:06 INFO  Entered Username in the username field
2025-01-12-17:30:06 INFO  learntekarch25Password Entered
2025-01-12-17:30:07 INFO  Clicked on loginButton
2025-01-12-17:30:07 INFO  Verifying Home Page is Displayed
2025-01-12-17:30:08 INFO  PASS: Home Page is Opened
